CustomerKey,CustomerName,Segment,Gender,AgeBand,City,Region,Country,JoinDate,LoyaltyTier,IncomeBand,IsCorporate,PreferredChannelKey
5001,Alex King 1,Home Office,NA,25-34,Philadelphia,East,USA,2025-05-14,Silver,Mid,0,1
5002,Alex Johnson 2,Consumer,F,25-34,Seattle,West,USA,2021-06-15,Bronze,Mid,0,1
5003,Taylor Green 3,Consumer,M,18-24,Houston,South,USA,2020-08-28,Silver,High,0,3
5004,Rowan Lewis 4,Consumer,NA,18-24,New York,East,USA,2022-05-21,Bronze,High,0,3
5005,Taylor King 5,Corporate,NA,45-54,Phoenix,West,USA,2023-01-01,Bronze,Mid,0,1
5006,Alex King 6,Consumer,NA,25-34,Boston,East,USA,2025-05-13,Bronze,Mid,0,4
5007,Taylor Clark 7,Home Office,NA,18-24,Dallas,South,USA,2022-11-21,Platinum,Lower-Mid,0,4
5008,Riley Brown 8,Consumer,F,45-54,Minneapolis,North,USA,2022-12-06,Bronze,Low,0,1
5009,Taylor Green 9,Small Business,M,35-44,Phoenix,West,USA,2023-04-01,Bronze,Mid,1,3
5010,Logan Scott 10,Consumer,F,25-34,Houston,South,USA,2022-07-29,Bronze,Low,0,2
5011,Parker Green 11,Small Business,F,25-34,San Francisco,West,USA,2024-05-31,Gold,Mid,1,2
5012,Sam Brown 12,Consumer,F,25-34,San Francisco,West,USA,2025-03-19,Gold,Upper-Mid,0,1
5013,Alex Lewis 13,Consumer,NA,35-44,Philadelphia,East,USA,2024-07-03,Bronze,Mid,0,2
5014,Alex Brown 14,Consumer,F,35-44,Washington,East,USA,2019-12-02,Silver,Low,0,3
5015,Riley Johnson 15,Small Business,NA,35-44,Phoenix,West,USA,2021-01-27,Bronze,Mid,0,1
5016,Drew Davis 16,Consumer,NA,18-24,Phoenix,West,USA,2020-02-01,Bronze,Lower-Mid,0,2
5017,Drew Hall 17,Small Business,M,55+,Dallas,South,USA,2024-04-28,Silver,Lower-Mid,0,2
5018,Logan Walker 18,Consumer,F,55+,Detroit,North,USA,2020-11-15,Platinum,Upper-Mid,0,1
5019,Casey Brown 19,Home Office,NA,25-34,Los Angeles,West,USA,2025-09-03,Bronze,High,0,4
5020,Casey Hall 20,Consumer,M,45-54,Chicago,North,USA,2024-10-29,Silver,Upper-Mid,0,3
5021,Taylor Allen 21,Consumer,NA,35-44,Los Angeles,West,USA,2020-02-15,Platinum,Mid,0,1
5022,Riley Lewis 22,Small Business,NA,35-44,Philadelphia,East,USA,2025-10-30,Silver,Lower-Mid,1,2
5023,Cameron Clark 23,Consumer,NA,25-34,Los Angeles,West,USA,2024-04-30,Platinum,Upper-Mid,0,1
5024,Avery Scott 24,Consumer,NA,35-44,Philadelphia,East,USA,2021-07-22,Bronze,High,0,2
5025,Skyler Young 25,Small Business,F,25-34,Philadelphia,East,USA,2021-05-15,Platinum,Mid,1,2
5026,Taylor Johnson 26,Consumer,M,45-54,New York,East,USA,2023-07-11,Bronze,Upper-Mid,0,4
5027,Drew Brown 27,Consumer,F,25-34,Detroit,North,USA,2024-02-13,Bronze,Mid,0,1
5028,Rowan Green 28,Consumer,F,35-44,Washington,East,USA,2021-09-17,Bronze,Mid,0,1
5029,Drew Green 29,Consumer,M,45-54,Seattle,West,USA,2020-01-06,Bronze,Mid,0,1
5030,Rowan Brown 30,Corporate,M,35-44,Houston,South,USA,2024-10-03,Bronze,Upper-Mid,1,1
5031,Alex Brown 31,Corporate,M,35-44,Houston,South,USA,2022-06-05,Gold,Upper-Mid,0,4
5032,Avery Davis 32,Consumer,NA,35-44,Washington,East,USA,2023-06-15,Silver,Low,0,4
5033,Jordan Walker 33,Consumer,F,25-34,Philadelphia,East,USA,2022-02-06,Silver,Upper-Mid,0,1
5034,Logan Brown 34,Consumer,F,45-54,Boston,East,USA,2025-09-23,Silver,Lower-Mid,0,1
5035,Riley Green 35,Home Office,M,25-34,Cleveland,North,USA,2019-05-25,Silver,High,0,3
5036,Rowan Wright 36,Corporate,M,55+,Boston,East,USA,2023-01-08,Silver,Upper-Mid,1,4
5037,Taylor King 37,Consumer,M,45-54,Atlanta,South,USA,2025-04-08,Gold,Lower-Mid,0,2
5038,Morgan King 38,Consumer,M,25-34,New York,East,USA,2022-09-19,Bronze,Mid,0,2
5039,Rowan Allen 39,Consumer,NA,55+,Cleveland,North,USA,2019-10-19,Silver,Lower-Mid,0,1
5040,Drew Scott 40,Consumer,F,25-34,Seattle,West,USA,2021-03-31,Bronze,High,0,4
5041,Jamie Lee 41,Consumer,F,35-44,San Francisco,West,USA,2020-12-25,Bronze,Low,0,2
5042,Taylor Walker 42,Corporate,F,25-34,Houston,South,USA,2023-11-12,Silver,Mid,1,2
5043,Alex Green 43,Small Business,M,45-54,Detroit,North,USA,2024-12-15,Bronze,Mid,1,1
5044,Casey Hall 44,Consumer,NA,25-34,Philadelphia,East,USA,2019-09-25,Gold,Lower-Mid,0,1
5045,Taylor Clark 45,Small Business,M,25-34,Washington,East,USA,2021-02-10,Bronze,High,1,1
5046,Alex Allen 46,Consumer,NA,25-34,Houston,South,USA,2023-02-10,Gold,Upper-Mid,0,2
5047,Alex Young 47,Corporate,F,35-44,New York,East,USA,2019-03-22,Bronze,Low,1,1
5048,Morgan King 48,Small Business,NA,35-44,Washington,East,USA,2022-05-18,Silver,Low,1,2
5049,Jordan Hall 49,Small Business,NA,35-44,Miami,South,USA,2022-03-03,Bronze,Low,0,1
5050,Casey Davis 50,Consumer,F,18-24,Boston,East,USA,2024-07-26,Platinum,Mid,0,2
5051,Jordan Green 51,Consumer,F,45-54,Dallas,South,USA,2024-07-16,Bronze,Low,0,2
5052,Avery Davis 52,Corporate,M,35-44,Minneapolis,North,USA,2020-02-13,Gold,Upper-Mid,1,2
5053,Jordan Scott 53,Small Business,F,18-24,Washington,East,USA,2020-07-20,Silver,Lower-Mid,1,2
5054,Sam Lee 54,Consumer,F,25-34,New York,East,USA,2024-02-13,Bronze,Mid,0,4
5055,Jamie King 55,Consumer,F,55+,San Francisco,West,USA,2020-10-14,Bronze,High,0,2
5056,Logan Clark 56,Corporate,NA,18-24,San Francisco,West,USA,2020-06-19,Silver,Mid,1,2
5057,Alex King 57,Corporate,NA,35-44,Minneapolis,North,USA,2025-06-19,Gold,Lower-Mid,1,4
5058,Morgan Walker 58,Corporate,M,35-44,Cleveland,North,USA,2023-04-26,Bronze,Upper-Mid,1,2
5059,Avery Scott 59,Consumer,M,45-54,Detroit,North,USA,2019-11-03,Gold,Lower-Mid,0,1
5060,Parker Young 60,Consumer,M,25-34,New York,East,USA,2021-08-20,Bronze,Mid,0,2
5061,Jordan Walker 61,Consumer,NA,35-44,Cleveland,North,USA,2020-02-25,Silver,Low,0,2
5062,Parker Brown 62,Small Business,NA,35-44,Minneapolis,North,USA,2022-10-28,Bronze,Low,0,2
5063,Jordan Johnson 63,Small Business,NA,25-34,Seattle,West,USA,2022-10-30,Bronze,Mid,1,2
5064,Taylor Walker 64,Consumer,F,45-54,New York,East,USA,2023-08-04,Bronze,Mid,0,1
